textid	target	model	tokenizer	predicted	prob
27	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.35096728801727295
28	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3442034423351288
29	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.33849361538887024
30	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3440077006816864
31	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3385738730430603
32	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34238752722740173
33	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3397916555404663
34	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3431430160999298
35	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.337982177734375
36	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34191811084747314
37	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3500140607357025
38	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3487210273742676
39	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3399961590766907
40	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3425767421722412
41	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3400498628616333
42	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3391556739807129
43	0	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34375399351119995
44	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34067848324775696
45	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3599434792995453
46	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.36262500286102295
47	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3623102605342865
48	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3478996157646179
49	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3719777464866638
50	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34331056475639343
51	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.359212726354599
52	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.36581170558929443
53	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3529936671257019
54	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3381175398826599
55	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3390079140663147
56	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3519592583179474
57	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34181320667266846
58	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3393670618534088
59	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3620353639125824
60	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3471331298351288
61	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.33971109986305237
62	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3486310839653015
63	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3361149728298187
64	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.38151952624320984
65	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3394659459590912
66	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3423256576061249
67	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3406389653682709
68	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.33891692757606506
69	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.33977392315864563
70	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3417990207672119
71	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3432556092739105
72	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3370068669319153
73	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3437447249889374
74	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3378625810146332
75	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34295427799224854
76	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3401532471179962
77	1	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3405515253543854
78	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3440309166908264
79	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34548789262771606
80	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34232836961746216
81	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.33902788162231445
82	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34091824293136597
83	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.33679261803627014
84	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3382940888404846
85	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3370445966720581
86	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3543386459350586
87	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3390142619609833
88	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3390921652317047
89	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34071463346481323
90	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3520987927913666
91	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3378112316131592
92	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3474805951118469
93	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.33890125155448914
94	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.33735713362693787
95	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.33696451783180237
96	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3394622802734375
97	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.33969369530677795
98	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.33718693256378174
99	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34447064995765686
100	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34302881360054016
101	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.339154452085495
102	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.351932555437088
103	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.33956265449523926
104	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3404417634010315
105	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34014201164245605
106	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34295547008514404
107	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34022650122642517
108	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3450019359588623
109	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.33983370661735535
110	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34214872121810913
111	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.33759191632270813
112	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.35236313939094543
113	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34292900562286377
114	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3470076322555542
115	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34003114700317383
116	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34620538353919983
117	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.34418466687202454
118	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.3410530686378479
119	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Post Malone	0.3466060757637024
120	2	/home/jparedeslarios/Final/sampleRoberta	/home/jparedeslarios/Final/sampleRoberta	Taylor Swift	0.34162279963493347
