textid	text	label
10	here we go again i kinda wanna be more than friends so take it easy on me i'm afraid you're never satisfied here we go again we're sick like animals we play pretend so take it easy and i'm afraid i won't get out alive no i won't sleep tonight   oh oh i want some more oh oh what are you waiting for take a bite of my heart tonight oh oh i want some more oh oh what are you waiting for say goodbye to my heart tonight  neon trees   here we are again i feel the chemicals kickin' in it's getting heavy and i wanna run and hide i wanna run and hide i do it every time you're killin' me now and i won't be denied by you the animal inside of you   oh oh i want some more oh oh what are you waiting for take a bite of my heart tonight oh oh i want some more oh oh what are you waiting for say goodbye to my heart tonight   hush hush the world is quiet hush hush we both can't fight it it's us that made this mess why can't you understand well i won't sleep tonight  oh oh oh oh oh oh   oh oh i want some more oh oh what are you waiting for take a bite of my heart tonight oh oh i want some more oh oh what are you waiting for what are you waiting for  what are you waiting say goodbye to my heart tonight	0
11	the way you look the way you laugh the way you love with all you have there arent nothing about you that don't do something for me   once i thought that love was something i could never do never knew that i could feel this much but this yearning in the deep part of my heart for you is more than a reaction to your touch it's a perfect passion and i can't get enough   the way you look the way you laugh the way you love with all you have there arent nothing about you that don't do something for me the way you kiss the way you cry the way you move when you walk by there's arent nothing about you there arent nothing about you that don't do something for me  whoa   in my life i've been hammered by some heavy blows that never knocked me off my feet all you got to do is smile at me and down i go and baby it's no mystery why i surrender girl you got everything   the way you look the way you laugh the way you love with all you have there arent nothing about you that don't do something for me the way you kiss the way you cry the way you move when you walk by there's arent nothing about you there arent nothing about you that don't do something for me  i love your attitude your rose tattoo your every thought your smile you lips and girl the list goes on and on and on   the way you look the way you laugh the way you love with all you have there arent nothing about you that don't do something for me the way you kiss the way you cry the way you move when you walk by there's arent nothing about you there arent nothing about you that don't do something for me    modified the way you look the way you laugh the way you love with all you have your dance your drive you make me feel alive   the way you talk the way you tease by now i think you see that there arent nothing about you that don't do something for me	0
12	one i walk in the room there's a beautiful sunshine ray across the room then i hear the phone ring walk to it and i don't know what to say hello good day but what i do know is that tonight is gonna be the night when   he says 'i love you' and 'i really care about you' when he says he'll hold me in his arms when i'm afraid when i'll say oh i'll say i love him too and i care about you yeah this ain't no charade then he'll drive me home listenin' to the radio and he says he really loves me too he'll do anything  two oh i walk through the door there's a beautiful moonlight shine across the room i crawl into bed thinkin' what i did today with him but what i do know is that i love him too and the next time i see him walking down the streetdown the street i'll think about this time that was as beautiful as sunshine oh   he says 'i love you' and 'i really care about you' yeah he says he'll hold me in his arms when i'm afraid and i'll say i love you too yeah i love you oh i'll say i care about you yeah this ain't no charade then he'll drive me home listenin' to the radio then he says he really loves me and he'll do anything   i look in his brown eyes and see a surprise it's like a present that you open oh and do you know oh do you know what that surprise is it's love and the next time i see him walking down the streets in his old white tshirt i'll always remember this time that was as beautiful as sunshine   oh oh oh sunshine oh oh oh sunshine sunshine sunshine was as beautiful as sunshine	0
13	i shined your shoes i poured the wine i gave you all of my time  i patched your dents smiled at your friends which apparently is a crime  i gave you space you took my place and gave it to her  but life's too long to waste it all loving a liar  and when love hands me matches now i'm gonna burn it down  i keyed her car got my  and wrote this damn song  look what you've found she's been around i hear the lines long  and don't you tell me to be nice i'm not a nice girl  she died from complications of the things you told her  so when love hands me matches now i'm gonna burn it down  ain't it funny you said honey you meant sitting duck well i say cheater liar truck on fire loser leaver deceiver just a few i've thought of  and when love hands me matches now 'gonna burn it down i'm gonna burn it down oh yeah gonna burn it burn it burn it down  matches now	0
14	if you love me then i love you swear by the freckles on the moon and maybe this will be enough i'd like to keep you til i'm old but if i can't at least you'll know that baby perfect have i loved   do you remember the stupid things we used to do before september stole me away from you the time we got your truck stuck in the creek 'cause baby roads weren't wild enough for you and me sayin'   if you love me then i love you swear by the freckles on the moon and maybe this will be enough i'd like to keep you til i'm old but if i can't at least you'll know that baby perfect have i loved   i used to see you by the  we used to cross i found the feeling of trying to get lost you would smile that smile that i tried so hard to forget it's hard to douse a fire that i still haven't put out yet   and if you love me then i love you swear by the freckles on the moon and maybe this will be enough i'd like to keep you til i'm old but if i can't at least you'll know that baby perfect have i loved   love was all we knew and faith was growing on the vines words were all we had and for one summer you were mine sayin'   if you love me then i love you swear by the freckles on the moon and maybe this will be enough i'd like to keep you til i'm old but if i can't at least i'll know that baby perfect have i loved	0
15	something about me didn't fit into your perfect world i bet the bluegrass stained your smile you should use a darker color when you write on the wall i haven't read it a thousand times  pre maybe if you saw me for a second you would realize honey i was trying so hard   to talk walk think stop anytime you want me to bend all my rules i used to let you choose who you wanted me to be this time i'm flying free it's my turn to be me   you liked the face but you had to replace me inside i saw the walls of me go down you can take the girl away from cowboy hats and steel s she'll still sing the same old songs  pre maybe if you saw me for a second you would realize honey i was trying so hard   to talk walk think stop anytime you want me to bend all my rules i used to let you choose who you wanted me to be this time i'm flying free it's my turn to be me   turned on that radio hey that's when i realized it wasn't our song it was yours and in conversation baby i was decoration now i deserve a little bit more than   to talk walk think stop anytime you want me to bend all my rules i used to let you choose who you wanted me to be this time i'm flying free it's my turn to be me	0
16	where will the music industry be in 0 years 0 years 50 years  before i tell you my thoughts on the matter you should know that you're reading the opinion of an enthusiastic optimist one of the few living souls in the music industry who still believes that the music industry is not dyingit's just coming alive  there are many many people who predict the downfall of music sales and the irrelevancy of the album as an economic entity i am not one of them in my opinion the value of an album is and will continue to be based on the amount of heart and soul an artist has bled into a body of work and the financial value that artists and their labels place on their music when it goes out into the marketplace piracy file sharing and streaming have shrunk the numbers of paid album sales drastically and every artist has handled this blow differently  in recent years you've probably read the articles about major recording artists who have decided to practically give their music away for this promotion or that exclusive deal my hope for the future not just in the music industry but in every young girl i meetis that they all realize their worth and ask for it  music is art and art is important and rare important rare things are valuable valuable things should be paid for it's my opinion that music should not be free and my prediction is that individual artists and their labels will someday decide what an album's price point is i hope they don't underestimate themselves or undervalue their art  arrows through the heart  in mentioning album sales i'd like to point out that people are still buying albums but now they're buying just a few of them they are buying only the ones that hit them like an arrow through the heart or have made them feel strong or allowed them to feel like they really aren't alone in feeling so alone it isn't as easy today as it was 0 years ago to have a multiplatinumselling album and as artists that should challenge and motivate us  there are always going to be those artists who break through on an emotional level and end up in people's lives forever the way i see it fans view music the way they view their relationships some music is just for fun a passing fling the ones they dance to at clubs and parties for a month while the song is a huge radio hit that they will soon forget they ever danced to some songs and albums represent seasons of our lives like relationships that we hold dear in our memories but had their time and place in the past  however some artists will be like finding the one we will cherish every album they put out until they retire and we will play their music for our children and grandchildren as an artist this is the dream bond we hope to establish with our fans i think the future still holds the possibility for this kind of bond the one my father has with the beach boys and the one my mother has with carly simon  i think forming a bond with fans in the future will come in the form of constantly providing them with the element of surprise no i did not say shock i said surprise i believe couples can stay in love for decades if they just continue to surprise each other so why can't this love affair exist between an artist and their fans  in the youtube generation we live in i walked out onstage every night of my stadium tour last year knowing almost every fan had already seen the show online to continue to show them something they had never seen before i brought out dozens of special guest performers to sing their hits with me my generation was raised being able to flip channels if we got bored and we read the last page of the book when we got impatient we want to be caught off guard delighted left in awe i hope the next generation's artists will continue to think of inventive ways of keeping their audiences on their toes as challenging as that might be  there are a few things i have witnessed becoming obsolete in the past few years the first being autographs i haven't been asked for an autograph since the invention of the iphone with a frontfacing camera the only memento kids these days want is a selfie it's part of the new currency which seems to be how many followers you have on instagram  fan power  a friend of mine who is an actress told me that when the casting for her recent movie came down to two actresses the casting director chose the actress with more twitter followers i see this becoming a trend in the music industry for me this dates back to 005 when i walked into my first recordlabel meetings explaining to them that i had been communicating directly with my fans on this new site called myspace in the future artists will get record deals because they have fansnot the other way around  another theme i see fading into the gray is genre distinction these days nothing great you hear on the radio seems to come from just one musical influence the wild unpredictable fun in making music today is that anything goes pop sounds like hip hop country sounds like rock rock sounds like soul and folk sounds like countryand to me that's incredible progress i want to make music that reflects all of my influences and i think that in the coming decades the idea of genres will become less of a careerdefining path and more of an organizational tool  this moment in music is so exciting because the creative avenues an artist can explore are limitless in this moment in music stepping out of your comfort zone is rewarded and sonic evolution is not only acceptedit is celebrated the only real risk is being too afraid to take a risk at all  celebrity spotlight  i predict that some things will never change there will always be an increasing fixation on the private lives of musicians especially the younger ones artists who were at their commercial peak in the '70s '80s and '90s tell me it was never this crazy for us back then and i suspect i'll be saying that same thing to younger artists someday god help them there continues to be a bad girl vs good girlcleancut vs sexy debate and for as long as those labels exist i just hope there will be contenders on both sides everyone needs someone to relate to  and as for me i'll just be sitting back and growing old watching all of this happen or not happen all the while trying to maintain a life rooted in this same optimism  and i'd also like a nice garden	0
17	my momma stood across the room face to face but never eye to eye recalling words we said the battle that we swore we'd never fight breaking pieces off with every lie a tear came to her eye and she said   don't walk away now and don't rip my heart out don't you block me out tonight honey where are you and don't hate me for loving you   he walked around my life and made blind with every single move he caught me staring at him mad about him little that i knew love is different when you play the fool and all i want to do is say   don't walk away now and don't rip my heart out don't you make cry tonight like you always do and don't hate me for loving you   i slammed the door sat on the floor cried into my bed said are you there do you even care to cross above my head but someone said   don't turn away now and don't rip my heart out things are meant to happen like this i know it's right for you and don't hate me for loving you   i looked up at the sky face to face and finally eye to eye	0
18	stumble up the porch step you sat down in the car only thirteen blocks across this town to get to where you are and that dont offer me much time to make up my mind so i best be driving slow on my way to letting go   these headlights they just wanna fade off into the night but if theyre half as stubborn as me theyll just keep on shining bright i aint ever been one to settle like the dust does on the dash since the feeling aint strong ill just move on and leave this in my past    once you're gone i know your memory'll somehow get the best of me so i question everything i do unsure of turning you away wondering love how ill act today until you find somebody new so ive been holding on way too long but not another minute i'm gonna miss you bad but cant call it love if you aint in it    red light turns to green then back to red again i wish there were some other travelers out here to slow my travelling even though the wheel rolled on inside i still dont know oh and it troubles me so    once you're gone i know your memory'll somehow get the best of me so i question everything i do unsure of turning you away wondering love how ill feel today i see you found somebody new and ive been holding on way too long but not another minute i might miss you bad but cant call it love if you aint in it  repeat    your car comes to a rest in the drive you open up the door and i see you smile	0
19	here i am once again in your driveway thinking i should be leaving i should go but it's so entertaining watching you breathing you went and got to me like the stupid song on the radio that you try to forget but it sticks in your head so goodbye it's not goodnight cause i'll be seeing you in my dreamin'   boy you got me like a shot to the heart got me shakin' so bad spilled my coffee in the car caught a red light i ran right through gotta call my friends tell them all about you always looking like one of those nights when you're thinkin' 'bout kissing 'til the morning light you got me you do   in a daze pull the shades close my eyes and picture you at my window i relax i go back to all the things you said that only i know   boy you got me like a shot to the heart got me shakin' so bad spilled my coffee in the car caught a red light i ran right through gotta call my friends tell them all about you always looking like one of those nights when you're thinkin' 'bout kissing 'til the morning light you got me you do   i'm runnin' right out to my car and i pull out the drive it's only been ten minutes but i have to see you one more time   boy you got me like a shot to the heart got me shakin' so bad spilled my coffee in the car caught a red light i ran right through gotta call my friends tell them all about you always looking like one of those nights when you're thinkin' 'bout kissing 'til the morning light you got me you do	0
20	i know we've got a lot to say between now and forever but i'd be a game if you would play and my dear you get better  all throughout the day you smile and walk away all i can think to do is follow you   if you leave i'll be crawling back for more if you need love i'll be standing at your door i'll be sick inside if baby you'd be my cure   wherever you think i am tonight just know we're miles from a heartbreak because in the blink of a pretty brown eye i'll be right where you are baby  sometime along the way you take my breath away distracted by he view i fall right into you   and if you ever leave i'll be crawling back for more and if you ever need love i'll be standing at your door i'll be sick inside if baby you would be my cure   they say i need to see all the people out there waiting but you take one look at me and i know the mistake i'd be making   becasue if you ever leave i'll be crawling back for more and if you ever need love i'm standing at your door i'll be sick inside if baby you be my cure   i know we've got a lot to say between now and forever	0
21	someone struck a match against the night all i could see was you and i i was captivated a perfect little dream inside my head and then reality crept in and erased it  pre for a while i thought that i could hold you but you were just a temporary high   firefly you drew me to you your beauty shines and lights up the sky and you don't know it do you i wish i could keep you firefly firefly   something so beautiful and free was as never meant to be caged in i thought i had you in my hand i tried to catch you but i can't chase the wind  pre and just as i reach out to touch you i remind myself you were meant to fly   firefly you drew me to you your beauty shines and lights up the sky and you don't know it do you i wish i could keep you firefly firefly   i like to think i'd be all that you wanted not even that is enough   firefly you drew me to you your beauty shines and lights up the sky and you don't know it do you i wish i could keep you firefly firefly	0
22	i heard a song tonight on the radio another girl sings about a boy just sees his face in every space in every room and i know that if i turn around you won't be there if i close my eyes will you be there   i don't want to lose your face and i don't want to wake one day and not remember what time erased and i don't want to turn around because im not scared of what love gave me and took away and i don't want to lose your face   i've got a picture of you in my bedroom and i hope it never falls and i hope i never lose that feeling i used to get when you would call and now i wonder to myself who were you and where are you were you ever here at all   i don't want to lose your face and i don't want to wake one day and not remember what time erased and i don't want to turn around because im not scared of what love gave me and took away and i don't want to lose your face   that girl in the song had it so good i wish i could close my eyes and see you i wish the sky had your face and the oceans had your eyes and the sunset had your lips and i had you   i don't want to lose your face and i don't want to wake one day and not remember what time erased and i don't want to turn around because im not scared of what love gave me and took away and i don't want to lose your face	0
23	i think of you every single evening as i lay awake at night i try to think try to walk away with youme in and i say    honey baby don't do anything crazy around us say that everything will be fine oh honey baby oh how can you blame me when i say i wanna make you mine cause everybody else in the world is driving me crazy except you honey baby oh    flying high i can see his smiling as we walk down by the drives take my hand take my breath away cause you make me feel like flying    honey baby don't do anything crazy around us say that everything will be fine oh honey baby oh how can you blame me when i say i wanna make you mine cause everybody else in the world is driving me crazy except you honey baby   oh you are everything i'll ever need oh you are everything i wanna be drive me crazy have me baby all i really wanna say is   honey baby don't do anything crazy around us say that everything will be fine oh honey baby oh how can you blame me when i say i wanna make you mine cause everybody else in the world is driving me crazy except you honey baby	0
24	there's a plane or a bus leaving dallas i hope you're on it if there's a train moving fast down the tracks i hope you caught it 'cause i swear out there ain't where you outta be so catch a ride or catch a cab don't you know that i miss you bad but don't you walk to me  baby run cut a path across the blue sky straight in a straight line you can't get here fast enough find a truck and fire it up lean on the gas and off the clutch leave dallas in the dust i need you in a rush so baby run so baby run  oh if you ain't got a suitcase get a box or an old brown paper sack pack it light or pack it heavy take a truck take a chevy baby just come back there's a shortcut to the highway out of town why don't you take it don't let that speed limit slow you down go on and break it baby break it  baby run cut a path across the blue sky straight in a straight line you can't get here fast enough find a truck and fire it up lean on the gas and off the clutch leave dallas in the dust i need you in a rush so baby run  run to me baby run run to me so baby run run oh baby run	0
25	what a thing to see what a thing to be what a perfect love what a perfect home 'cause every time she walks and every time she talks is every time he knows what a perfect world he's living on  pre but whenever he's gone and when she's all alone his heart goes out to her on the telephone   and he says sugar how i love you how i think about you all the time he calls her sugar 'cause she's the sweetest thing oh she's the best thing he'll ever find   with her midnight hair and with his favorite stare she's a southern belle he's a rockout king when she looks around oh she knows she's found such a perfect life such a perfect thing  pre and whenever he's gone and when she's all alone his heart goes out to her on the telephone   and he says sugar how i love you how i think about you all the time he calls her sugar 'cause she's the sweetest thing oh she's the best thing he'll ever find   oh there's a reason for every season there's a change within the range of every heart but the reason and the season seem to be right so far   and he says sugar how i love you how i think about you all the time he calls her sugar 'cause she's the sweetest thing oh she's the best thing he'll ever find he calls her sugar	0
26	i was scared of dentists and the dark i was scared of pretty girls and starting conversations oh all my friends are turning green you're the magician's assistant in their dreams  oh and they come unstuck  lady running down to the riptide taken away to the dark side i wanna be your left hand man i love you when you're singing that song and i got a lump in my throat because you're gonna sing the words wrong  there's this movie that i think you'll like this guy decides to quit his job and heads to new york city this cowboy's running from himself and she's been living on the highest shelf  oh and they come unstuck  lady running down to the riptide taken away to the dark side i wanna be your left hand man i love you when you're singing that song and i got a lump in my throat because you're gonna sing the words wrong  i just wanna i just wanna know if you're gonna if you're gonna stay i just gotta i just gotta know i can't have it i can't have it any other way i swear she's destined for the screen closest thing to michelle pfeiffer that you've ever seen oh  lady running down to the riptide taken away to the dark side i wanna be your left hand man i love you when you're singing that song and i got a lump in my throat because you're gonna sing the words wrong  oh lady running down to the riptide taken away to the dark side i wanna be your left hand man i love you when you're singing that song and i got a lump in my throat because you're gonna sing the words wrong  oh lady running down to the riptide taken away to the dark side i wanna be your left hand man i love you when you're singing that song and i got a lump in my throat because you're gonna sing the words wrong i got a lump in my throat because you're gonna sing the words wrong	0
27	here you are now fresh from your war back from the edge of time and all that you were stripped to the bone i thought you'd want to know   that when you feel the world is crashing all around your feet come running headlong into my arms breathless i'll never judge you i can only love you come now running headlong into my arms breathless   lay down your guns too weak to run nothing can harm you here your precious heart broken and scarred somehow you made it through i only ask that you won't go again   when you feel the world is crashing all around your feet come running headlong into my arms breathless i'll never judge you i can only love you come now running headlong into my arms breathless   i'm so glad to see you smiling so good to hear your laugh i think that you've found you even missed yourself i'm only asking this because i think that truth be told oh you'll never go again again   when you feel the world is crashing all around your feet come running headlong into my arms breathless i'll never judge you i can only love you come now running headlong into my arms breathless breathless	0
28	wanegbt oohoohoohoohooh oohoohoohoohooh oohoohoohoohooh oohoohoohoohooh oohoohoohoohooh oohoohoohoohooh oohoohoohoohooh oohoohoohoohooh   wanegbt we are never ever ever getting back together we are never ever ever getting back together you go talk to your friends talk to my friends talk to me but we are never ever ever ever getting back together  post wanegbt oohoohoohoohooh oohoohoohoohooh oohoohoohoohooh oohoohoohoohooh  transition tiwwchnt oh and here's to my real friends oh and here's to my baby they didn't care about the hesaidshesaid we are never ever ever ever getting back together   tiwwchnt it was so nice throwing big parties jump into the pool from the balcony everyone swimming in a champagne sea and there are no rules when you show up here bass beat rattling the chandelier feeling so gatsby for that whole year  pre tiwwchnt so why'd you have to rain on my parade i'm shaking my head and locking the gates   tiwwchnt this is why we can't have nice things darling because you break them i had to take them away this is why we can't have nice things honey did you think i wouldn't hear all the things you said about me this is why we can't have nice things   tiwwchnt it was so nice being friends again there i was giving you a second chance but then you stabbed in the back while shaking my hand and therein lies the issue friends don't try to trick you get you on the phone and mindtwist you and so i took an axe to a mended fence  pre tiwwchnt but i'm not the only friend you've lost lately if only you weren't so shady   tiwwchnt here's a toast to my real friends they don't care about the hesaidshesaid and here's to my baby he ain't reading what they call me lately and here's to my momma had to listen to all this drama and here's to you 'cause forgiveness is a nice thing to do haha i can't even say it with a straight face   tiwwchnt this is why we can't have nice things darling darling because you break them i had to take them away this is why we can't have nice things honey did you think i wouldn't hear all the things you said about me this is why we can't have nice things darling and here's to my real friends because you break them i had to take them away and here's to my baby this is why we can't have nice things darling he didn't care about that hesaidshesaid did you think i wouldn't hear all the things you said about me this is why we can't have nice things	0
